Feature_Index,Feature,RF_Mean_Importance,RF_Std_Importance,RF_CI_Lower,RF_CI_Upper,RF_CV_Robustness,RF_Ranking_Stability,RF_Consistency_Index,Perm_Mean_Importance,Perm_Std_Importance,Perm_CI_Lower,Perm_CI_Upper,Perm_Ranking_Stability,Perm_Consistency_Index,Mutual_Information
161,phase_sync_eeg_1_eeg_3,0.0060331714039451355,0.002701769757815471,0.005265336934500519,0.006801005873389752,2.233044160476083,0.0,0.02538431817519547,0.0007619047619047581,0.01568857926245638,-0.003696740131680863,0.005220549655490379,0.08,0.022209750205607434,0.1460754623280882
100,eeg_3_freq_std,0.005989514442663858,0.0030441648500770763,0.005124372364661323,0.0068546565206663935,1.9675393879402652,0.02,0.023154690182434844,-0.0019047619047619084,0.014630753805464008,-0.0060627761298069635,0.002253252320283147,0.02,0.025900611832144572,0.0
143,eeg_4_delta_relative_power,0.005979165683703807,0.002779013993928526,0.00518937864525069,0.006768952722156924,2.1515420511061234,0.0,0.02437624951276165,-0.00303896103896104,0.011636405509098021,-0.006345990893919885,0.000268068815997806,0.0,0.022025284461799705,0.13251584707590935
145,eeg_4_theta_relative_power,0.00596173686115545,0.0023318587250254277,0.005299029944042942,0.006624443778267959,2.556645709926475,0.0,0.027141563398228093,0.00019047619047618904,0.014188878145877102,-0.0038419583615941656,0.004222910742546543,0.0,0.02575457486574157,0.0
8,eeg_1_rms,0.005955548381081013,0.003251951214608665,0.005031354071663711,0.006879742690498315,1.8313768580504395,0.06,0.024578145697569883,0.0020692640692640692,0.012210951051202283,-0.001401049822099897,0.005539577960628036,0.06,0.017163152205863317,0.050506085349166785
103,eeg_3_delta_power,0.005945368295869057,0.002473484179200225,0.005242411870021916,0.006648324721716198,2.403641028109315,0.0,0.025799088514974804,1.731601731601813e-05,0.006820598760785765,-0.0019210767030973684,0.0019557087377294045,0.02,0.032748102623804246,0.1602671144914385
158,phase_sync_eeg_1_eeg_2,0.005935525733488353,0.002957791835258413,0.005094930594696968,0.006776120872279738,2.006742145292172,0.0,0.021950159372775346,-0.002060606060606062,0.01018983987685546,-0.004956526511613379,0.0008353143904012558,0.02,0.023042666789824754,0.04777194841691612
3,eeg_1_skewness,0.005911760808042077,0.002929893592074752,0.005079094262237344,0.00674442735384681,2.0177390135461772,0.02,0.02401774015216616,-0.002450216450216451,0.014310515006521559,-0.006517219815594333,0.00161678691516143,0.0,0.018180680854245186,0.013596061410840576
44,eeg_2_max,0.005903712501869777,0.004152735709350734,0.004723518071567468,0.007083906932172085,1.4216441336278511,0.06,0.021682800619474574,-0.0026147186147186174,0.011929831140805964,-0.00600513911153071,0.0007757018820934744,0.02,0.02978902610985096,0.010436694572228511
18,eeg_1_complexity,0.005903543815451571,0.0037473465635377242,0.0048385597056414195,0.006968527925261722,1.5753930301922654,0.02,0.021659830150992022,-0.0031948051948051948,0.011200294620074491,-0.006377893706456106,-1.17166831542833e-05,0.0,0.024183162743674082,0.04295991035016167
160,coherence_eeg_1_eeg_3,0.005891529809206327,0.0028302550502032277,0.005087180223687661,0.006695879394724994,2.0816249760320313,0.02,0.023455772297858002,-0.0005108225108225099,0.010659443357355391,-0.003540202794317758,0.002518557772672738,0.06,0.023578845720975215,0.07044515338450497
165,corr_eeg_2_eeg_3,0.005826989017223878,0.0025859644643008287,0.0050920660480458825,0.0065619119864018735,2.253313559538017,0.02,0.024470507803347304,-0.0035670995670995676,0.01269116413870364,-0.007173888507899316,3.968937370018048e-05,0.36,0.02082702711647682,0.0
168,corr_eeg_2_eeg_4,0.005765830117429668,0.00322057667884487,0.004850552352419075,0.006681107882440261,1.7903097840436237,0.02,0.021281271849664128,-0.0013073593073593094,0.01247519305294968,-0.004852769944709783,0.002238051329991164,0.2,0.01970399686069201,0.0
104,eeg_3_delta_relative_power,0.0057566279911461585,0.0030231208604200315,0.0048974665488312405,0.0066157894334610765,1.9042003500734335,0.02,0.023553847297154255,0.0007532467532467502,0.00780701335140001,-0.0014654818920343126,0.0029719753985278127,0.04,0.028388813227676876,0.10077717170515843
65,eeg_2_delta_relative_power,0.00571678943471697,0.002624080455277296,0.004971034020759359,0.006462544848674581,2.1785876288057997,0.02,0.026289173836235028,-0.00015584415584415803,0.011071003491435551,-0.0033021885352923887,0.002990500223604073,0.02,0.02876811130469968,0.0
102,eeg_3_spectral_entropy,0.005672211393909078,0.0031564217283258102,0.004775166264100485,0.006569256523717671,1.7970384512635504,0.02,0.022497235027732945,-0.0015238095238095258,0.009401114422288054,-0.004195576680779346,0.0011479576331602948,0.0,0.027700463760353653,0.056422740835744056
148,eeg_4_beta_power,0.005636687113768944,0.00290767168606925,0.004810335963774096,0.006463038263763793,1.9385568690298867,0.0,0.021480474455769488,-0.00019047619047619205,0.004462999814803805,-0.0014588467039214584,0.0010778943229690743,0.04,0.03248960017908821,0.05832559812150939
29,eeg_1_alpha_power,0.005611932623338503,0.002627266655650005,0.004865271701253989,0.006358593545423018,2.1360345732955732,0.0,0.024209945003853407,-0.0007619047619047641,0.011716995427984529,-0.004091838018395811,0.0025680284945862834,0.02,0.023753309572505356,0.034796816969254296
15,eeg_1_percentile_75,0.005590874808603894,0.0022551842495439536,0.004949958536320005,0.006231791080887783,2.4791209684186075,0.0,0.02573652641624093,-0.00016450216450216674,0.015270255810083467,-0.0045042608483432875,0.004175256519338954,0.04,0.01809116607009919,0.003753362181349029
108,eeg_3_alpha_relative_power,0.005560410522804969,0.0031685284105807095,0.004659924711969048,0.006460896333640889,1.7548873252164263,0.02,0.022550683224239865,-0.0021038961038961075,0.015874644806880167,-0.006615420240123069,0.0024076280323308548,0.04,0.025353631752682237,0.0
